PMID,PMC ID,Title,Author(s),Abstract,Date of Publication,Date of Electronic Publication,round-A_Agent1_output,round-A_Agent1_reasoning,round-A_Agent1_score,round-A_Agent1_certainty,round-A_Agent2_output,round-A_Agent2_reasoning,round-A_Agent2_score,round-A_Agent2_certainty,round-B_Agent3_output,round-B_Agent3_complications
37789968,PMC10544010,Remimazolam vs Etomidate: Haemodynamic Effects in Hypertensive Elderly Patients Undergoing Non-Cardiac Surgery.,Chen J||Zou X||Hu B||Yang Y||Wang F||Zhou Q||Shen M,"BACKGROUND: Remimazolam tosilate (RT) is a novel ultrashort-acting gamma-aminobutyric acid subtype A (GABA(A)) agonist, with several advantages including rapid induction and recovery, stable haemodynamics, and mild respiratory inhibition. However, studies have not been conducted to explore the haemodynamic effects of RT in elderly hypertensive subjects undergoing non-cardiac surgery. Therefore, we sought to compare the effects of anaesthesia induction using different doses of RT and etomidate on the haemodynamics of this group of patients. METHODS: Patients were recruited into this single-center, prospective, randomized, double-blind trial from October 2022 to June 2023. A total of 150 hypertensive elderly undergoing non-cardiac surgery were randomly assigned into 0.2 mg/kg RT group (Group RL), 0.3 mg/kg RT group (Group RH) and 0.3 mg/kg etomidate group (Group E). The primary outcome of the study was haemodynamic changes (mean arterial pressure fluctuation value -∆MAP and heart rate fluctuation value -∆HR) observed during anaesthesia induction. Secondary outcomes included incidence of adverse cardiovascular events and adverse drug reactions (injection pain and myoclonus), cumulative doses of vasoactive drugs and vital signs at different time points. RESULTS: Patients in Group E and Group RL had significantly lower haemodynamic fluctuations (∆MAP), lower incidence of hypotension and cumulative dose of ephedrine than subjects in Group RH. Patients in groups RL and RH had significantly lower incidence of injection pain and myoclonus compared with patients in group E. The results showed no statistically significant differences in ∆HR, hypertension, bradycardia, tachycardia, and time to loss of eye-opening reflex and start of intubation, and vital signs at different time points among the three groups. CONCLUSION: Use of low-dose RT (0.2 mg/kg) for induction of non-cardiac surgical anaesthesia in elderly hypertensive patients is more effective in maintaining haemodynamic stability and has fewer adverse effects compared with etomidate.",2023,20230927.0,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of vaccinations against COVID19, therefore it does not meet the criteria.', 'score': 2}","The article does not discuss complications or adverse effects of vaccinations against COVID19, therefore it does not meet the criteria.",2,100,"{'reasoning': 'The article discusses the haemodynamic effects of anaesthesia induction in elderly hypertensive patients, not complications or adverse effects of COVID-19 vaccinations, thus it does not meet the criteria.', 'score': 2, 'certainty': 95}","The article discusses the haemodynamic effects of anaesthesia induction in elderly hypertensive patients, not complications or adverse effects of COVID-19 vaccinations, thus it does not meet the criteria.",2,95,,
34558599,PMC8500128,Early Post-Renal Transplant Hyperglycemia.,Iqbal A||Zhou K||Kashyap SR||Lansang MC,"CONTEXT: Though posttransplant diabetes mellitus (PTDM, occurring > 45 days after transplantation) and its complications are well described, early post-renal transplant hyperglycemia (EPTH) (< 45 days) similarly puts kidney transplant recipients at risk of infections, rehospitalizations, and graft failure and is not emphasized much in the literature. Proactive screening and management of EPTH is required given these consequences. OBJECTIVE: The aim of this article is to promote recognition of early post-renal transplant hyperglycemia, and to summarize available information on its pathophysiology, adverse effects, and management. METHODS: A PubMed search was conducted for ""early post-renal transplant hyperglycemia,"" ""immediate posttransplant hyperglycemia,"" ""post-renal transplant diabetes,"" ""renal transplant,"" ""diabetes,"" and combinations of these terms. EPTH is associated with significant complications including acute graft failure, rehospitalizations, cardiovascular events, PTDM, and infections. CONCLUSION: Patients with diabetes experience better glycemic control in end-stage renal disease (ESRD), with resurgence of hyperglycemia after kidney transplant. Patients with and without known diabetes are at risk of EPTH. Risk factors include elevated pretransplant fasting glucose, diabetes, glucocorticoids, chronic infections, and posttransplant infections. We find that EPTH increases risk of re-hospitalizations from infections (cytomegalovirus, possibly COVID-19), acute graft rejections, cardiovascular events, and PTDM. It is essential, therefore, to provide diabetes education to patients before discharge. Insulin remains the standard of care while inpatient. Close follow-up after discharge is recommended for insulin adjustment. Some agents like dipeptidyl peptidase-4 inhibitors and glucagon-like peptide-1 receptor agonists have shown promise. The tenuous kidney function in the early posttransplant period and lack of data limit the use of sodium-glucose cotransporter 2 inhibitors. There is a need for studies assessing noninsulin agents for EPTH to decrease risk of hypoglycemia associated with insulin and long-term complications of EPTH.",2022 Jan 18,,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of COVID-19 vaccinations; therefore, it does not meet the specified criteria.', 'score': 2}","The article does not discuss complications or adverse effects of COVID-19 vaccinations; therefore, it does not meet the specified criteria.",2,100,"{'reasoning': 'The article discusses early post-renal transplant hyperglycemia and its complications, but it does not address complications or adverse effects of vaccinations against COVID-19, which is the specific focus of the scoring task.', 'score': 2, 'certainty': 90}","The article discusses early post-renal transplant hyperglycemia and its complications, but it does not address complications or adverse effects of vaccinations against COVID-19, which is the specific focus of the scoring task.",2,90,,
38716533,,Atorvastatin-induced Myositis and Drug-induced Liver Injury.,Kashyap K||Bisht K||Dhar M||Mittal K,"Statins are drugs for preventing cardiac events in the elderly population. Statins are well tolerated with a lower reported incidence of serious side effects (<0.15%) like myopathy and elevated transaminases [>3x upper limit of normal (ULN)]. Serious adverse effects of statins like statin-associated myopathy range from mild muscle pain to rhabdomyolysis. Drug-induced liver injury (DILI) is another adverse effect of statin use, typically presenting with an acute hepatocellular liver injury pattern as mixed or cholestatic injury. Symptoms usually disappear after 3 months of discontinuation of statins. Some patients require immunosuppression with steroids, intravenous immunoglobulin, or rituximab for management of rhabdomyolysis. DILI can be rapidly reversed by the stoppage of the statins if the enzyme elevation is more than twice the normal. Elderly patients are particularly at increased risk of such adverse effects, emphasizing a need for rational prescription of statins in older adults and close monitoring. We report a case of an elderly presenting with paraparesis and later diagnosed to be a case of statin-induced myositis that significantly improved with prompt management. How to cite this article: Kashyap K, Bisht K, Dhar M, et al. Atorvastatin-induced Myositis and Drug-induced Liver Injury. J Assoc Physicians India 2023;71(10):96-98.",2023 Oct,,"{'certainty': 100, 'reasoning': 'The article focuses on statin-induced myositis and liver injury, not complications of COVID-19 vaccinations.', 'score': 2}","The article focuses on statin-induced myositis and liver injury, not complications of COVID-19 vaccinations.",2,100,"{'reasoning': 'The article discusses adverse effects related to statin use, specifically atorvastatin, rather than complications or adverse effects of COVID-19 vaccinations, which does not meet the criteria for the scoring task.', 'score': 2, 'certainty': 90}","The article discusses adverse effects related to statin use, specifically atorvastatin, rather than complications or adverse effects of COVID-19 vaccinations, which does not meet the criteria for the scoring task.",2,90,,
36842342,PMC9905103,Cardiovascular complications of COVID-19 vaccines: A review of case-report and case-series studies.,Paknahad MH||Yancheshmeh FB||Soleimani A,"BACKGROUND: There are multiple reviews on cardiovascular aspects of COVID-19 disease on cardiovascular system in different population but there is lack of evidence about cardiovascular adverse effects of COVID vaccines. OBJECTIVES: The purpose of this study was to compare the cardiac complications of COVID19 vaccines, based on vaccine type (mRNA, vector-based, and inactivated vaccines). METHODS: A systematic search was performed covering PubMed for English case-reports and case-series studies, and finally 100 studies were included. RESULTS: Myocarditis (with overall rate around 1.62%) was shown to be the most common post-COVID19 immunization cardiac event. More than 90% of post-COVID19 vaccination myocarditis occurred after receiving mRNA vaccines (Moderna & Pfizer-BioNTech), but the report of this event was less in the case of vector-based vaccinations and/or inactivated vaccines. Myocarditis was reported more commonly in men and following the second dose of the immunization. Takotsubo cardiomyopathy (TTC) was reported after mRNA (more commonly) and vector-based vaccinations, with no case report after inactivated vaccines. When mRNA and vector-based vaccinations were used instead of inactivated vaccines, a greater frequency of vaccine-induced thrombotic thrombocytopenia (VITT) and pulmonary emboli (PE) was reported. Myocardial infarction/cardiac arrest was recorded in those beyond the age of 75 years. CONCLUSION: The personal and public health benefits of COVID-19 vaccination much outweigh the minor cardiac risks. Reporting bias, regarding more available mRNA vaccines in developed countries, may conflict these results.",2023 May-Jun,20230208.0,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses cardiovascular complications and adverse effects of COVID-19 vaccines, meeting the specified criteria.', 'score': 1}","The abstract explicitly discusses cardiovascular complications and adverse effects of COVID-19 vaccines, meeting the specified criteria.",1,100,"{'reasoning': 'The article discusses various cardiovascular complications associated with COVID-19 vaccines, including myocarditis and other cardiac events, which directly addresses the criteria of complications or adverse effects of vaccinations against COVID-19.', 'score': 1, 'certainty': 90}","The article discusses various cardiovascular complications associated with COVID-19 vaccines, including myocarditis and other cardiac events, which directly addresses the criteria of complications or adverse effects of vaccinations against COVID-19.",1,90,"{'complications': ['Myocarditis', 'Takotsubo cardiomyopathy (TTC)', 'Vaccine-induced thrombotic thrombocytopenia (VITT)', 'Pulmonary emboli (PE)', 'Myocardial infarction', 'Cardiac arrest']}","['Myocarditis', 'Takotsubo cardiomyopathy (TTC)', 'Vaccine-induced thrombotic thrombocytopenia (VITT)', 'Pulmonary emboli (PE)', 'Myocardial infarction', 'Cardiac arrest']"
37148041,,Spectrum of Serious Neurological and Psychiatric Adverse Events in Indian COVID-19 Vaccine Recipients: A Systematic Review of Case Reports and Case Series.,Garg RK||Paliwal V||Malhotra HS||Singh BP||Rizvi I||Kumar N,"Indian data regarding serious neurological and psychiatric adverse events, following coronavirus disease 2019 (COVID-19) vaccination, are lacking. We, therefore, systematically evaluated cases of post-vaccinal serious neurological and psychiatric adverse reactions published from India. A systematic review of cases published from India, which were archived in PubMed, Scopus, and Google Scholar databases, was performed; pre-print databases along with ahead-of-print contents were searched in addition. Retrieved articles, as on June 27, 2022, were evaluated following PRISMA guidelines. EndNote 20 web tool was used to make a PRISMA flow chart. Individual patients' data were compiled in a tabular form. The protocol of the systematic review was registered with PROSPERO (CRD42022324183). A total of 64 records describing 136 instances of serious neurological and psychiatric adverse events were identified. More than 50% (36/64) reports were from the following four states, namely, Kerala, Uttar Pradesh, New Delhi, and West Bengal. The mean age of persons developing these complications was 44.89 +/- 15.77 years. In the majority, adverse events occurred within 2 weeks of administration of the first dose of COVISHIELD vaccine. Immune-mediated central nervous system (CNS) disorders were identified in 54 instances. Guillain-Barre syndrome and other immune-mediated peripheral neuropathies were reported in 21 cases. Post-vaccinal herpes zoster was recorded in 31 vaccine recipients. Psychiatric adverse events were recorded in six patients. In Indian recipients of COVID-19 vaccine, a variety of serious neurological complications were reported. The overall risk appears minuscule. Immune-mediated central and peripheral neuronal demyelinations were the most frequently reported post-vaccinal adverse events. A large number of cases of herpes zoster have also been reported. Immune-mediated disorders responded well to immunotherapy.",2023 Mar-Apr,,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses serious neurological and psychiatric adverse events following COVID-19 vaccination in India.', 'score': 1}",The abstract explicitly discusses serious neurological and psychiatric adverse events following COVID-19 vaccination in India.,1,100,"{'reasoning': 'The article systematically reviews serious neurological and psychiatric adverse events following COVID-19 vaccination, which directly addresses complications related to the vaccine, thus meeting the criteria.', 'score': 1, 'certainty': 95}","The article systematically reviews serious neurological and psychiatric adverse events following COVID-19 vaccination, which directly addresses complications related to the vaccine, thus meeting the criteria.",1,95,"{'complications': ['serious neurological adverse events', 'serious psychiatric adverse events', 'immune-mediated central nervous system disorders', 'Guillain-Barre syndrome', 'immune-mediated peripheral neuropathies', 'post-vaccinal herpes zoster', 'psychiatric adverse events']}","['serious neurological adverse events', 'serious psychiatric adverse events', 'immune-mediated central nervous system disorders', 'Guillain-Barre syndrome', 'immune-mediated peripheral neuropathies', 'post-vaccinal herpes zoster', 'psychiatric adverse events']"
37992586,,Drug-drug interaction between paxlovid and tacrolimus in a patient with myasthenia gravis and SARS-CoV-2 infection.,Chen Y||Wan W||Yao X||Guan Y,"Patients with both myasthenia gravis (MG) and SARS-CoV-2 infection face treatment challenges due to potential drug interactions. One common immunosuppressant for MG, Tacrolimus, is primarily metabolized by the cytochrome P450. However, Paxlovid, an antiviral medication, inhibits cytochrome P450 activity, which can lead to increased Tacrolimus levels and potential toxicity when the two drugs are combined. In this case report, we present the case of a 39-year-old woman with early-onset MG who was initially treated with Tacrolimus. Later, she received Paxlovid for SARS-CoV-2 infection, which resulted in a sudden spike in Tacrolimus levels due to the drug interaction. This case emphasizes the importance of personalized treatment plans and close monitoring of drug interactions in patients with multiple health conditions. Clinicians should exercise vigilance regarding potential Tacrolimus interactions and regularly monitor blood levels to prevent adverse effects. Caution and close monitoring of Tacrolimus levels are essential when administering Paxlovid to patients on Tacrolimus therapy.",2023 Dec 15,20231121.0,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of COVID-19 vaccinations.', 'score': 2}",The article does not discuss complications or adverse effects of COVID-19 vaccinations.,2,100,"{'reasoning': 'The article discusses drug-drug interactions between Paxlovid and Tacrolimus in a patient with myasthenia gravis and SARS-CoV-2 infection, which is unrelated to complications or adverse effects of COVID-19 vaccinations.', 'score': 2, 'certainty': 90}","The article discusses drug-drug interactions between Paxlovid and Tacrolimus in a patient with myasthenia gravis and SARS-CoV-2 infection, which is unrelated to complications or adverse effects of COVID-19 vaccinations.",2,90,,
33981305,PMC8107358,Acute Transverse Myelitis (ATM):Clinical Review of 43 Patients With COVID-19-Associated ATM and 3 Post-Vaccination ATM Serious Adverse Events With the ChAdOx1 nCoV-19 Vaccine (AZD1222).,Roman GC||Gracia F||Torres A||Palacios A||Gracia K||Harris D,"INTRODUCTION: Although acute transverse myelitis (ATM) is a rare neurological condition (1.34-4.6 cases per million/year) COVID-19-associated ATM cases have occurred during the pandemic. CASE-FINDING METHODS: We report a patient from Panama with SARS-CoV-2 infection complicated by ATM and present a comprehensive clinical review of 43 patients with COVID-19-associated ATM from 21 countries published from March 2020 to January 2021. In addition, 3 cases of ATM were reported as serious adverse events during the clinical trials of the COVID-19 vaccine ChAdOx1 nCoV-19 (AZD1222). RESULTS: All patients had typical features of ATM with acute onset of paralysis, sensory level and sphincter deficits due to spinal cord lesions demonstrated by imaging. There were 23 males (53%) and 20 females (47%) ranging from ages 21- to 73- years-old (mean age, 49 years), with two peaks at 29 and 58 years, excluding 3 pediatric cases. The main clinical manifestations were quadriplegia (58%) and paraplegia (42%). MRI reports were available in 40 patients; localized ATM lesions affected </=3 cord segments (12 cases, 30%) at cervical (5 cases) and thoracic cord levels (7 cases); 28 cases (70%) had longitudinally-extensive ATM (LEATM) involving >/=4 spinal cord segments (cervicothoracic in 18 cases and thoracolumbar-sacral in 10 patients). Acute disseminated encephalomyelitis (ADEM) occurred in 8 patients, mainly women (67%) ranging from 27- to 64-years-old. Three ATM patients also had blindness from myeloneuritis optica (MNO) and two more also had acute motor axonal neuropathy (AMAN). CONCLUSIONS: We found ATM to be an unexpectedly frequent neurological complication of COVID-19. Most cases (68%) had a latency of 10 days to 6 weeks that may indicate post-infectious neurological complications mediated by the host's response to the virus. In 32% a brief latency (15 hours to 5 days) suggested a direct neurotropic effect of SARS-CoV-2. The occurrence of 3 reported ATM adverse effects among 11,636 participants in the AZD1222 vaccine trials is extremely high considering a worldwide incidence of 0.5/million COVID-19-associated ATM cases found in this report. The pathogenesis of ATM remains unknown, but it is conceivable that SARS-CoV-2 antigens -perhaps also present in the AZD1222 COVID-19 vaccine or its chimpanzee adenovirus adjuvant- may induce immune mechanisms leading to the myelitis.",2021,20210426.0,"{'certainty': 100, 'reasoning': 'The abstract explicitly mentions 3 cases of ATM reported as serious adverse events during clinical trials of the ChAdOx1 nCoV-19 vaccine, directly addressing the criteria.', 'score': 1}","The abstract explicitly mentions 3 cases of ATM reported as serious adverse events during clinical trials of the ChAdOx1 nCoV-19 vaccine, directly addressing the criteria.",1,100,"{'reasoning': 'The article discusses complications associated with COVID-19, specifically acute transverse myelitis (ATM), and includes a section on serious adverse events related to the ChAdOx1 nCoV-19 vaccine, thus meeting the criteria for discussing vaccination complications.', 'score': 1, 'certainty': 90}","The article discusses complications associated with COVID-19, specifically acute transverse myelitis (ATM), and includes a section on serious adverse events related to the ChAdOx1 nCoV-19 vaccine, thus meeting the criteria for discussing vaccination complications.",1,90,"{'complications': ['acute transverse myelitis (ATM)', 'acute disseminated encephalomyelitis (ADEM)', 'blindness from myeloneuritis optica (MNO)', 'acute motor axonal neuropathy (AMAN)']}","['acute transverse myelitis (ATM)', 'acute disseminated encephalomyelitis (ADEM)', 'blindness from myeloneuritis optica (MNO)', 'acute motor axonal neuropathy (AMAN)']"
35200056,,Lipegfilgrastim may cause hyperleukocytosis.,Hannarici Z||Yilmaz A||Buyukbayram ME||Turhan A||Tekin SB||Bilici M,"INTRODUCTION: Granulocyte colony-stimulating factors (G-CSF) are utilized both in the treatment and prophylaxis of chemotherapy-induced neutropenia. Lipegfilgrastim is a long-acting G-CSF. Albeit it provides ease of administration compared to short-acting GCSFs, some lipegfilgrastim-related adverse events may occur. Bone pain, widespread body pain, and feeling of fever are among common adverse effects, while rare but more serious adverse effects such as leukocytosis, spleen rupture, interstitial pneumonia, acute respiratory distress syndrome, capillary leak syndrome, hypokalemia, and glomerulonephritis may occur as well. CASE REPORT: We reported a case of hyperleukocytosis that developed due to prophylactic administration of lipegfilgrastim following the first course of neoadjuvant pertuzumab (840-420 mg), trastuzumab (8-6mg/kg), and docetaxel (75 mg/m2) in a 45-year-old female patient with a diagnosis of breast invasive ductal carcinoma. The patient, who presented with weakness, loss of appetite, and oral intake disorder, had elevated white blood cell (WBC), lactate dehydrogenase (LDH), and uric acid levels in her test results. Peripheral smear (PS) had a left shift. MANAGEMENT AND OUTCOME: Intravenous 0.9% NaCl and peroral allopurinol were started to be administered to the patient. On the ninth day of hospitalization, the patient's clinical manifestation improved, and her WBC, LDH, uric acid, and PS returned to normal. Besides, the progression to tumor lysis syndrome (TLS) was prevented by appropriate hydration and allopurinol treatment. In subsequent chemotherapies (CTs), lipegfilgrastim was discontinued and filgrastim was started. The patient whose hyperleukocytosis did not recur was operated on following neoadjuvant CT. The patient's routine follow-up continues without any problems. DISCUSSION: Although lipegfilgrastim-induced hyperleukocytosis has not been reported in the literature, it should be borne in mind that hyperleukocytosis and related complications may occur, as in our case.",2022 Dec,20220224.0,"{'certainty': 100, 'reasoning': 'The article does not discuss complications or adverse effects of COVID-19 vaccinations.  It discusses a case of hyperleukocytosis associated with lipegfilgrastim, a medication used to treat neutropenia, not a COVID-19 vaccine.', 'score': 2}","The article does not discuss complications or adverse effects of COVID-19 vaccinations.  It discusses a case of hyperleukocytosis associated with lipegfilgrastim, a medication used to treat neutropenia, not a COVID-19 vaccine.",2,100,"{'reasoning': 'The article discusses the adverse effects of lipegfilgrastim, a granulocyte colony-stimulating factor, rather than complications or adverse effects of COVID-19 vaccinations, which is outside the specified criteria.', 'score': 2, 'certainty': 90}","The article discusses the adverse effects of lipegfilgrastim, a granulocyte colony-stimulating factor, rather than complications or adverse effects of COVID-19 vaccinations, which is outside the specified criteria.",2,90,,
36315834,PMC9746535,Miller-Fisher syndrome and Guillain-Barre syndrome overlap syndrome following inactivated COVID-19 vaccine: Case report and scope review.,Liang H||Cao Y||Zhong W||Ma Z||Liu J||Chen H,"Miller-Fisher syndrome (MFS) is a rare variant of Guillain-Barre syndrome (GBS) manifesting as the triad of ataxia, areflexia, and ophthalmoplegia. With the extensive 2019 coronavirus disease (COVID-19) immunization program, cases of GBS or MFS following vaccination are increasingly being reported. A 64-y-old Chinese man presented with new-onset paresthesia of the extremities, bilateral abduction limitation, right facial palsy, areflexia of bilateral lower limbs, and left-dominant limb ataxia 12 d after the second dose of inactivated vaccine against COVID-19. Cerebrospinal fluid analysis indicated albumin-cytological dissociation and was positive for anti-GQ1b IgG and anti-GT1b IgG. Nerve conduction studies of limbs showed evidence of axonal neuropathy with reduced sensory amplitudes. Based on the clinical presentations, temporal progression of symptoms, and laboratory findings, the diagnosis of MFS-GBS overlap syndrome was made. The patient was treated with intravenous immunoglobulin and acupuncture and made a complete recovery 54 d after the onset of his initial neurological signs. To the best of our knowledge, we report the first case of MFS-GBS overlap syndrome following the inactivated COVID-19 vaccination. However, a coincidental relationship with this inactivated vaccine cannot be excluded. Although the benefits of COVID-19 vaccination largely outweigh its risk and the prognosis of MFS is generally favorable, a close surveillance of neurological complications post-COVID-19 vaccination is always necessary, considering its potentially disabling and lethal effects on vaccinated populations.",2022 Nov 30,20221031.0,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses a case of Miller-Fisher syndrome and Guillain-Barre syndrome overlap following a COVID-19 vaccination, thus meeting the criteria.', 'score': 1}","The abstract explicitly discusses a case of Miller-Fisher syndrome and Guillain-Barre syndrome overlap following a COVID-19 vaccination, thus meeting the criteria.",1,100,"{'reasoning': 'The article discusses a case of Miller-Fisher syndrome and Guillain-Barre syndrome overlap following COVID-19 vaccination, which directly relates to complications or adverse effects of the vaccine.', 'score': 1, 'certainty': 90}","The article discusses a case of Miller-Fisher syndrome and Guillain-Barre syndrome overlap following COVID-19 vaccination, which directly relates to complications or adverse effects of the vaccine.",1,90,"{'complications': ['Miller-Fisher syndrome', 'Guillain-Barre syndrome', 'paresthesia of the extremities', 'bilateral abduction limitation', 'right facial palsy', 'areflexia of bilateral lower limbs', 'left-dominant limb ataxia', 'axonal neuropathy', 'reduced sensory amplitudes', 'neurological complications']}","['Miller-Fisher syndrome', 'Guillain-Barre syndrome', 'paresthesia of the extremities', 'bilateral abduction limitation', 'right facial palsy', 'areflexia of bilateral lower limbs', 'left-dominant limb ataxia', 'axonal neuropathy', 'reduced sensory amplitudes', 'neurological complications']"
36301659,,Case Report of COVID-19 mRNA Vaccine-Associated Myocarditis.,Licata T||Clements A,"INTRODUCTION: We present a case report highlighting a single patient out of 3 who developed myocarditis within days after receiving Pfizer and Moderna COVID-19 mRNA vaccines. CASE PRESENTATION: A 19-year-old male was admitted to our hospitalist service with substernal chest pain that was sharp, constant, and varied with position. He had received his second dose of the Pfizer-BioNTech COVID-19 vaccine (Pfizer vaccine) 2 days prior. Electrocardiogram was consistent with pericarditis. He had persistently elevated troponins and globally reduced systolic function by echocardiogram, which was consistent with myocarditis. He received colchicine, ibuprofen, and proton pump inhibitors with a resolution of symptoms. After 32 days, follow-up echocardiogram had returned to normal, and his symptoms had resolved completely. DISCUSSION: Given the onset of symptoms after the second dose of vaccine and our review of similar cases in the literature, it seems likely the patient's myopericarditis was caused by the vaccine. Rare complications of new vaccines given to millions of people are rapidly identified by the Vaccine Adverse Event Reporting System. CONCLUSIONS: The identification of myopericarditis as a complication of mRNA vaccines will need further study to understand the pathophysiology, incidence, and prevalence in specific age groups and biological sexes.",2022 Oct,,"{'certainty': 100, 'reasoning': 'The abstract explicitly discusses a case of myocarditis as a complication of mRNA COVID-19 vaccines, thus meeting the criteria.', 'score': 1}","The abstract explicitly discusses a case of myocarditis as a complication of mRNA COVID-19 vaccines, thus meeting the criteria.",1,100,"{'reasoning': 'The article discusses a case of myocarditis following mRNA vaccination, which directly addresses complications and adverse effects of COVID-19 vaccinations, thus meeting the criteria.', 'score': 1, 'certainty': 90}","The article discusses a case of myocarditis following mRNA vaccination, which directly addresses complications and adverse effects of COVID-19 vaccinations, thus meeting the criteria.",1,90,"{'complications': ['myocarditis', 'myopericarditis', 'pericarditis']}","['myocarditis', 'myopericarditis', 'pericarditis']"
